index,id,title,date,tags,images
1,3add6f94-3ef1-8004-89d4-da1ebb592f33,Vienna Racialists Guarded in Parade,,Nazis/Fascists; Antizionism; Political Zionism; Austria; Europe; Western Antisemitism,
2,3add6f94-3ef1-807d-a9dd-c3ee8ccd8f26,Cairo,1951-08-06,Egypt; Arab World; Islamic World; Mufti; Jordan; England/UK; Western Intervention,images/0002-Cairo-1.png
3,3add6f94-3ef1-8066-b952-de0191fe7c5c,Egypt and the Suez,1951-08-09,Egypt; Arab World; Africa; Islamic World; Intent in Israel/Palestine,images/0003-Egypt-and-the-Suez-1.png
4,3add6f94-3ef1-80af-a960-f5c3368cb548,Arabs Will Discuss Three Major Issues,1951-08-19,Egypt; Arab World; Arab League; Islamic World; Blockade/Siege/Targeting of Food & Water; Ceasefire Violations; Intent in Israel/Palestine,images/0004-Arabs-Will-Discuss-Three-Major-Issues-1.png
5,3add6f94-3ef1-80dc-981d-e5c1cac602ee,Refugee Position Improved by Iran,1951-08-04,Iran; Islamic World; Ethnic Cleansing; Muslim Antisemitism; UN & League of Nations,images/0005-Refugee-Position-Improved-by-Iran-1.png
6,3add6f94-3ef1-80c5-97f9-de1b70a9323d,"$52,287,000 Expended in Israel in 6 Months",1951-08-31,"Sources of Funding; Use of ""colony"" to describe Jewish communities",images/0006-52-287-000-Expended-in-Israel-in-6-Months-1.png
7,3add6f94-3ef1-80f4-a487-eede3c42cf7d,Plan Given to Spur Farming in Israel,1951-08-20,Israel/Palestine; Intent in Israel/Palestine,images/0007-Plan-Given-to-Spur-Farming-in-Israel-1.png
8,3add6f94-3ef1-80ba-b977-f546f82ef22a,Jewish Committee Fears Nazi Rebirth,1951-08-29,Germany; Europe; Western Antisemitism; Nazis/Fascists,images/0008-Jewish-Committee-Fears-Nazi-Rebirth-1.png
9,3add6f94-3ef1-8059-9801-fe44007f30c1,Jews in Germany Protest,1951-08-22,Germany; Nazis/Fascists; Europe; Western Antisemitism,images/0009-Jews-in-Germany-Protest-1.png
10,3add6f94-3ef1-80f4-abd9-f6b9302c8fab,Jews Criticize Hungary,1951-08-25,Hungary; Europe; Western Antisemitism; Antizionism; Ethnic Cleansing; USSR; Russia,images/0010-Jews-Criticize-Hungary-1.png
11,3add6f94-3ef1-80c6-86bb-f7296926b754,9 More Pledge Palestine Aid,1952-08-01,"England/UK; Western Intervention; Israel/Palestine; ""The Nakba""; Sources of Funding",images/0011-9-More-Pledge-Palestine-Aid-1.png
12,3add6f94-3ef1-8043-81c8-d6a53702e745,Shift in Egypt Spurs Hope for Arab-Israeli Accord,1952-08-24,Egypt; Israel/Palestine; Intent in Israel/Palestine; Arab World; Islamic World; Palestinian Identity,images/0012-Shift-in-Egypt-Spurs-Hope-for-Arab-Israeli-Accord-1.png
